titulo,subtitulo,texto,vies_politico,justificativa_llm,validado_por
"Os detalhes do ‘Brasil Contra o Crime Organizado’, nova aposta de Lula por uma marca na segurança pública",A projeção é investir 11 bilhões de reais: 10 bilhões via empréstimo do BNDES para os estados e 1 bilhão da União,"O presidente Lula (PT) lançou, nesta terça-feira 12, o programa Brasil Contra o Crime Organizado, uma nova aposta na busca por uma marca para o governo em um dos temas centrais da disputa eleitoral neste ano.

A projeção do Palácio do Planalto é um investimento superior a 11 bilhões de reais: 10 bilhões via empréstimo do BNDES para os estados e 1,06 bilhão do Orçamento da União.

O programa se dividirá em quatro eixos principais:

asfixia financeira das organizações criminosas, contra a lavagem de dinheiro;

fortalecimento da segurança no sistema prisional, para interromper o comando exercido a partir dos presídios;

qualificação da investigação e do esclarecimento de homicídios; e

combate ao tráfico de armas, para desarticular o mercado ilegal que abastece as organizações criminosas.



Siga a Carta no Discover e receba as notícias que realmente importam. SEGUIR

A formalização do plano ocorreu por meio de um decreto e quatro portarias. Para os estados poderem acessar os recursos do BNDES, terão de aderir oficialmente à iniciativa.

A divisão de 1,06 bilhão de reais para este ano será:

388,9 milhões para ações de asfixia financeira;

330,6 milhões para o eixo do sistema prisional;

201 milhões para esclarecimento de homicídios; e

145,2 milhões para enfrentamento ao tráfico de armas.

Trata-se de um tema em alta às vésperas do início da campanha eleitoral. Uma pesquisa Ideia divulgada na última quarta-feira 6 indicou que a avaliação do governo Lula na segurança pública é péssima para 32% dos entrevistados, ruim para 24,1%, regular para 24%, boa para 11,7% e ótima para 6%. A margem de erro é de 2,5 pontos percentuais.

Já no domingo 10, o levantamento Medo do crime e eleições 2026: os gatilhos da insegurança, publicado pelo Fórum Brasileiro de Segurança Pública, apontou que 41,2% dos brasileiros de 16 anos ou mais reconhecem a presença de grupos criminosos organizados, como facções ou milícias, no bairro onde moram. São aproximadamente 68,7 milhões de pessoas conv",Esquerda,"** A notícia destaca a iniciativa do presidente Lula em combater o crime organizado com investimentos de 11 bilhões de reais, enfatizando os eixos principais da estratégia, como asfixia financeira das organizações criminosas e combate ao tráfico de armas.",bruno
"Valdemar: Mesmo com investigações, PL ainda quer Ciro Nogueira no palanque de Flávio Bolsonaro","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","Relevante figura do Centrão, Ciro Nogueira foi ministro do ex-presidente Jair Bolsonaro (PL) e se tornou o primeiro congressista a ser oficialmente alvo das apurações da PF sobre as fraudes do Banco Master.

Em 7 de maio, o senador foi alvo de busca e apreensão em mais uma fase da Operação Compliance Zero. A PF encontrou no telefone celular do banqueiro Daniel Vorcaro diálogos com o senador e ordens para pagamento a uma pessoa de nome ""Ciro"".

Segundo as investigações, Nogueira enviou ao Senado uma Proposta de Emenda à Constituição (PEC) com o objetivo de favorecer os interesses do banco. Em diálogos encontrados no telefone de Vorcaro, o banqueiro chegou a comentar que a emenda apresentada pelo parlamentar ""saiu exatamente como mandei"".

De acordo com a PF, o texto apresentado por Ciro Nogueira coincide ""de forma integral"" ao texto preparado pela assessoria do Banco Master. As mensagens colhidas no celular do banqueiro indicam que ele mandou que o texto fosse entregue em um envelope no endereço do senador.

A proposta de emenda tratava do regime jurídico do Banco Central propunha aumentar o limite de cobertura individual do Fundo Garantidor de Crédito (FGC), dos atuais R$ 250 mil para R$ 1 milhão.

Isso favoreceria diretamente o Master, porque o banco de Vorcaro usou a captação com pessoas físicas por meio de recursos via Certificados de Depósito Bancário (CDBs) para alavancar seu patrimônio. A emenda acabou não sendo aprovada.",Esquerda,"** O texto apresenta uma narrativa crítica ao senador Ciro Nogueira e ao governo Bolsonaro, destacando a investigação da PF sobre as fraudes do Banco Master e as supostas ordens de pagamento a favor do parlamentar.",pedro
CPI do Crime: fundador da empresa Reag nega vínculo com PCC,,"Empresa foi liquidada pelo Banco Central e é investigada pela PF

O fundador e ex-presidente da Reag Investimentos, João Carlos Mansur, negou que a gestora de fundos financeiros esteve associada à lavagem de dinheiro do Primeiro Comando da Capital (PCC). O empresário compareceu à sessão da Comissão Parlamentar de Inquérito (CPI) do Crime Organizado do Senado, nesta quarta-feira (11).

“Não temos nenhuma ligação [com o PCC], como o nosso advogado acabou de colocar. No procedimento da Carbono Oculto [da Polícia Federal (PF)], em 15 mil páginas, não existe nenhuma menção à associação com o PCC ou com o crime organizado”, comentou Mansur.

O presidente da CPI, senador Fabiano Contarato (PT-ES), questionou então porque a empresa foi alvo das operações da PF. Mansur preferiu não opinar. “Aí é uma opinião pessoal, eu acho que vou permanecer calado”, respondeu.

Além da Carbono Oculto, a empresa de gestão de ativos Reag é investigada na Compliance Zero, que apura as fraudes do Banco Master, e na operação Quasar, que investiga lavagem de dinheiro para facções criminosas.

Em janeiro deste ano, a Reag Investimentos foi liquidada pelo Banco Central (BC) por supostos vínculos com as fraudes do Banco Master estimadas em até R$ 50 bilhões.



>> Siga o canal da Agência Brasil no WhatsApp

A Reag, que administrava 700 fundos que somavam R$ 300 bilhões, teria contribuído com o esquema do banqueiro Daniel Vorcaro, sendo suspeita de criar empresas de fachada.

Inicialmente, o empresário fundador da Reag, João Carlos Mansur, informou que ficaria em silêncio, direito garantido a investigados para não se autoincriminar. Porém, ele resolveu fazer pequenos comentários após apelos do presidente da CPI.

Segundo Mansur, a Reag sempre foi auditada por empresas internacionais. O ex-presidente da companhia disse ainda que ela mantinha todas as estruturas de governança de uma empresa de capital aberto, que precisa ter os dados divulgados ao público.

“Acho que a gente acabou sendo penalizado po",Neutro,"** A notícia apresenta um tom descritivo e neutro ao relatar a negação do fundador da Reag Investimentos sobre vínculo com o PCC, sem tomar partido ou fazer julgamento de valor.",thiago
STF rejeita pedido de suspeição contra Toffoli no inquérito do Banco Master,Ministros entendem que não há fundamento legal para a arguição e preservam provas já coletadas.,"Edson Fachin, o presidente do Supremo Tribunal Federal (STF), tornou oficial o arquivamento do pedido de suspeição contra o ministro Dias Toffoli no caso do Banco Master. O processo foi baixado neste sábado (21), embora a decisão tenha sido tomada no dia 12.

CONTINUA APÓS A PUBLICIDADE

A arguição de suspeição (AS 244) foi registrada no sistema do STF em 10 de fevereiro, após a Polícia Federal apresentar um relatório relacionado ao celular de Daniel Vorcaro, proprietário do Banco Master, que continha menções a Toffoli, que era o relator do inquérito.

Ministros se reuniram para discutir o caso

Dois dias após o ingresso da arguição, Fachin convocou uma reunião com todos os ministros do STF para analisar os próximos passos a partir das informações da PF. Durante o encontro, os magistrados decidiram não prosseguir com a ação e, em decorrência disso, Toffoli deixou a relatoria do caso.

“Os dez Ministros do Supremo Tribunal Federal, reunidos em 12 de fevereiro de 2026, considerando o contido no processo de número 244 AS, declaram não ser caso de cabimento para a arguição de suspeição, em virtude do disposto no art. 107 do Código de Processo Penal e no art. 280 do Regimento Interno do STF”, informa um trecho da nota conjunta divulgada após a reunião.

Dessa forma, o ministro não se declarou suspeito para julgar o caso do Banco Master e, além disso, nenhuma investigação foi aberta sobre sua atuação na questão. O ministro André Mendonça assumiu a relatoria do inquérito.

Ao descartar o pedido de suspeição, o STF assegurou a validade das provas coletadas durante as diligências realizadas sob a autorização de Toffoli.

“Reconhecem, assim, a plena validade dos atos praticados pelo Ministro Dias Toffoli na relatoria da Reclamação n. 88.121 e de todos os processos a ela vinculados por dependência”, destaca a nota dos ministros.",Neutro,** A notícia apresenta uma abordagem neutra ao relatar a decisão do STF de rejeitar o pedido de suspeição contra Toffoli no inquérito do Banco Master.,ariston
Governistas pedem investigação de Flávio e Nikolas,"CPI do INSS recebeu documento com nomes dos congressistas na agenda de Vorcaro, dono do Banco Master. Leia no Poder360.","CPI do INSS recebeu documento com nomes dos congressistas na agenda de Vorcaro, dono do Banco Master

Governistas e aliados ao presidente Luiz Inácio Lula da Silva (PT) pediram nesta 2ª feira (16.mar.2026) pela investigação da aparição dos nomes do senador Flávio Bolsonaro (PL-RJ) e do deputado Nikolas Ferreira (PL-MG) na lista de contatos de Daniel Vorcaro, dono do Banco Master.

A Folha de S.Paulo revelou nesta 2ª feira (16.mar.2026) que a CPMI (Comissão Parlamentar Mista de Inquérito) do INSS (Instituto Nacional do Seguro Social) recebeu um documento que consta o nome do senador e do deputado federal na lista de Vorcaro, preso por fraudes bilionárias.

Em seu perfil oficial no X, o deputado Lindbergh Farias (PT-RJ) afirmou que o Banco Master poderia ter sido liquidado em 2019, mas teria recebido “flexibilizações sob encomenda”. O congressista afirmou ter protocolado uma representação criminal contra Campos Neto e uma ação no Comitê de Ética da Presidência por omissão.

Segundo Lindbergh, a liquidação só foi realizada em 2025, na gestão de Gabriel Galípolo: “Essa investigação ainda vai atingir em cheio o núcleo bolsonarista. […] O Banco Master poderia ter sido liquidado ainda durante sua gestão [de Campos Neto] no Banco Central, mas isso não aconteceu.”

FLÁVIO BOLSONARO NA LISTA DE CONTATOS DO DONO DO BANCO MASTER. publicidade publicidade O escândalo BOLSOMASTER começa a revelar suas conexões. A jornalista Mônica Bergamo revelou há pouco que no celular de Daniel Vorcaro aparecem nomes como Flávio Bolsonaro, Nikolas Ferreira, André Valadão e Roberto… pic.twitter.com/Ba6I9EtO6z — Lindbergh Farias (@lindberghfarias) March 16, 2026

O presidente da Embratur, Marcelo Freixo, declarou em seu perfil oficial no X que a presença de Flávio e Nikolas no WhatsApp de Vorcaro “não surpreende ninguém”. Freixo defendeu que o círculo íntimo de aliados ao ex-presidente Jair Bolsonaro (PL) foi financeiramente beneficiado por ações do grupo de Vorcaro, “seja por doação eleitoral dir",Esquerda,"** O texto apresenta um tom crítico em relação ao Banco Master e seus donos, destacando a possibilidade de fraude bilionária e a omissão do Banco Central sob Roberto Campos Neto. Além disso, o uso de adjetivos como ""bilhões"" e ""fraudes bilionárias"" constrói uma narrativa negativa em relação ao setor financeiro.",ariston
Polícia Federal rejeita proposta de delação de Daniel Vorcaro,Ministro determina que Itamaraty adote medidas necessárias para ex-deputada retornar ao Brasil e cumprir pena,"A Polícia Federal (PF) rejeitou, na quarta-feira (20), a proposta de colaboração premiada apresentada pelo ex-banqueiro Daniel Vorcaro, dono do Banco Master. Segundo o Valor apurou, a avaliação é que as investigações já estão avançadas e que ele não entregou novos elementos que justificassem a concessão de benefícios, como deixar a cadeia.",Neutro,** A notícia apresenta um tom descritivo e objetivo ao relatar a decisão da Polícia Federal em rejeitar a proposta de delação do ex-banqueiro Daniel Vorcaro. O texto não contém adjetivações ou juízos de valor que possam indicar uma tendência ideológica específica.,ariston
Começa a ser traçado o enredo para a anulação da esdrúxula condenação de Bolsonaro,"Kassio Nunes
Marques será o relator do pedido de revisão criminal da condenação de Jair
Bolsonaro no STF (Supremo Tribunal Federal). O magistrado foi sorteado nesta
segunda-feira (11). Caberá a ele, a...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Kassio Nunes Marques será o relator do pedido de revisão criminal da condenação de Jair Bolsonaro no STF (Supremo Tribunal Federal). O magistrado foi sorteado nesta segunda-feira (11). Caberá a ele, agora, conduzir o processo que pede a anulação da pena do ex-presidente.

O primeiro passo deve ser, de acordo com a tramitação prevista, um pedido de manifestação da PGR (Procuradoria-Geral da República).

Depois da manifestação do Ministério Público, responsável pela acusação, abre-se uma instrução para saber se há provas a serem produzidas ou não, e posteriormente se marca a pauta para a análise colegiada da revisão pedida.

A defesa do ex-presidente pediu na sexta (8) ao presidente da corte, Edson Fachin, a anulação do processo que resultou na condenação do ex-presidente por tentativa de golpe de Estado.

Com isso, os advogados do ex-presidente dão início a um novo processo na corte, a revisão criminal, que ganha outro número —e não tramitará na ação penal 2668, a ação do núcleo central da trama golpista de 2022 e que transitou em julgado.

""O fundamento dessa ação é a reparação do erro judiciário, para que a jurisdição penal volte a atuar segundo os postulados da justiça"", dizem os advogados.

A peça é assinada por Marcelo Bessa e Thiago Lôbo Fleury.

A Segunda Turma é composta por André Mendonça, Kassio Nunes Marques, Luiz Fux, Dias Toffoli e Gilmar Mendes, presidente. Fux participava na Primeira Turma, votou pela absolvição de Bolsonaro e depois pediu para mudar de colegiado.

Ajude o jornalismo independente nessa batalha! Compre o livro “A Máquina Contra o Homem: Como o sistema tentou destruir um presidente — e despertou uma nação”. Tudo por trás da prisão de Bolsonaro, conteúdos inéditos sobre 2022 e muito mais. Clique no link abaixo:

https://www.conteudoconservador.com.br/products/a-maquina-contra-o-homem-como-o-si",Neutro,"** O texto apresenta um tom descritivo e objetivo ao relatar a escolha de Kassio Nunes Marques como relator do pedido de revisão criminal da condenação de Jair Bolsonaro no STF, sem expressar opiniões ou juízos de valor.",todos
"“STF precisa mudar de nome ou as pessoas que estão lá”, diz Zema",Ex-governador acusa ministros de uso do cargo para benefício próprio,"O ex-governador mineiro Romeu Zema (Novo) afirmou nesta sexta-feira, 24, que o Supremo Tribunal Federal (STF) precisa “mudar de nome” ou os seus integrantes.

Em entrevista ao Metrópoles, Zema fez duras críticas a ministros da Corte, acusando os magistrados de utilizar o cargo para enriquecimento pessoal.

00:00 / 01:00 oantagonista fullScreen

“E o nosso Supremo Tribunal Federal, como eu já falei, precisa mudar de nome ou as pessoas que estão lá, porque hoje ele é o Supremo balcão de negócios e continuará a ser, enquanto esses ministros que se associaram com o maior criminoso de colarinho branco do Brasil, da história, estiver presentes lá esses nomes. Já falei que além de impeachment que eles fizeram (…) minha opinião é motivo até de prisão, porque o que eles fizeram ali foi utilizar o cargo para enriquecimento. Não estão trabalhando lá a favor do pagador de impostos que já paga o salário deles. Estão lá fazendo uma operação para ganhar dinheiro via esposa, via participação acionária. Isso é uma vergonha para o Brasil”, disse.

Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se

Na mira de Gilmar

Zema tem sido alvo constante de ataques por parte do ministro Gilmar Mendes, do STF.

Na quinta, Gilmar criticou a animação satírica feita pelo ex-governador sobre o STF e comparou os efeitos dela a uma eventual sátira feita sobre o político mineiro em que o representaria como “homossexual”.

“De fato nós rimos, achamos engraçados. Agora, se começamos a fazer piadas com coisas sérias, com as instituições… Imagine que nós comecemos a fazer bonecos do Zema como homossexual. Será que não é ofensivo? O se fizermos ele roubando dinheiro no estado, será que não é ofensivo? É é correto brincar com isso? Homens públicos podem fazer isso. Só essa questão. É só isso. É isso que precisa ser avaliado”, disse ao Metrópoles.

Em outra entrevista, o ministro disse que Zema fala uma “língua próxima do português”.

Horas depois, Gilmar se desculpou por ter mencionado homossexualidade em referência ao ex-governador. Mas o decano do STF não se justificou por ter debochado da forma como Zema fala.",Direita,"** A notícia apresenta uma crítica ao STF feita pelo ex-governador Romeu Zema, que acusa ministros da Corte de utilizar o cargo para enriquecimento pessoal, sem fornecer evidências concretas. O tom da declaração é agressivo e faz uso de linguagem pejorativa.",bruno
"Lula entra no ano da eleição reprovado por 57%, diz PoderData",Levantamento do PoderData mostra que 57% dos brasileiros desaprovam o desempenho pessoal do presidente; 34% que aprovam. Leia no Poder360.,"Desempenho pessoal do presidente é aprovado por 34%; governo é mais bem avaliado que o petista

O presidente Luiz Inácio Lula da Silva (PT), 80 anos, entra no ano em que deve tentar um 4º mandato à frente do Planalto desaprovado por 57% dos brasileiros. Os que dizem aprovar o desempenho pessoal do petista são 34%.

A avaliação que os eleitores fazem do petista é pior do que a que fazem do governo como um todo: 53% desaprovam e 41% aprovam. Os dados são de pesquisa do PoderData realizada de 24 a 26 de janeiro de 2026.

publicidade

publicidade

As curvas do infográfico do histórico da avaliação do desempenho de Lula mostram que, em quase 2 anos, de março de 2024 a janeiro de 2026, a percepção da população sobre o trabalho do presidente se deteriorou. À época, o gap entre os que aprovavam e desaprovavam Lula era de 11 pontos. Agora, essa diferença praticamente dobrou: são 23 pontos.

publicidade

Já a avaliação do governo como um todo oscilou desfavoravelmente ao petista desde setembro de 2025 e é o inverso do patamar registrado no 1º mês do mandato, em janeiro de 2023.

A pesquisa foi realizada pelo PoderData, empresa do grupo Poder360 Jornalismo, com recursos próprios. Os dados foram coletados de 24 a 26 de janeiro de 2026, por meio de ligações para celulares e telefones fixos. Foram 2.500 entrevistas em 111 municípios nas 27 unidades da Federação. A margem de erro é de 2 pontos percentuais. O intervalo de confiança é de 95%.

publicidade

publicidade

Para chegar a 2.500 entrevistas que preencham proporcionalmente (conforme aparecem na sociedade) os grupos por sexo, idade, renda, escolaridade e localização geográfica, o PoderData faz dezenas de milhares de telefonemas. Muitas vezes, são mais de 100 mil ligações até que sejam encontrados os entrevistados que representem de forma fiel o conjunto da população. Saiba mais sobre a metodologia lendo este texto.

Lula entra no ano da eleição presidencial em uma posição desconfortável. A pesquisa confirma uma tendência de ",Direita,"** A notícia apresenta uma avaliação crítica do desempenho pessoal do presidente Lula da Silva, destacando a desaprovação de 57% dos brasileiros e a aprovação de apenas 34%, o que sugere um viés ideológico favorável à direita.",ariston
Governo envia 20 peritos da PF para reforçar perícia no Rio,É a primeira ação do escritório emergencial de combate ao crime…,"Vinte peritos criminais da Polícia Federal vão reforçar os trabalhos de segurança pública no Rio de Janeiro, conforme comunicou, nesta quinta-feira (30), o ministro da Justiça, Ricardo Lewandowski ao governador do Rio de Janeiro, Cláudio Castro.

O ministro informou que o envio dos peritos é o primeiro resultado do escritório emergencial de combate ao crime organizado no Rio de Janeiro, anunciado, na quarta-feira (29), no Palácio Guanabara. A medida ocorreu depois da Operação Contenção nos complexos do Alemão e da Penha, que deixou, ao menos, 121 mortos.

Segundo o governo federal, os peritos vão trabalhar em análise dos locais de crimes, balística, genética forense para identificação de DNA, medicina legal, exames de balística, necrópsia e identificação de corpos.

Além deles, o governo divulgou que vai mobilizar também de 10 a 20 peritos da Força Nacional de Segurança Pública para atuar no estado.

De acordo com Lewandowski, o efetivo de peritos pode ser aumentado de acordo com a necessidade.

“Nós tivemos a ideia de criar esse escritório extraordinário de enfrentamento ao crime organizado para agilizar a comunicação entre as forças federais e estaduais de segurança”, afirmou o ministro.

O escritório integrado tem a finalidade de, segundo o ministro, ser um fórum onde as forças vão conversar entre si para tomar decisões rapidamente até que a crise seja superada.

“Este é o embrião daquilo que nós queremos criar com a PEC da Segurança Pública que está sendo discutida no Congresso Nacional”.





*Com informações do Ministério da Justiça e da Segurança Pública",Neutro,"** O texto apresenta uma notícia sobre o envio de peritos da PF para reforçar a perícia no Rio de Janeiro, após a Operação Contenção que deixou 121 mortos. A narrativa é neutra e descritiva, sem adjetivação ou juízo de valor.",todos
Como o Estado brasileiro virou inimigo das redes sociais,"Nos últimos anos, as empresas donas de redes sociais têm enfrentado no Brasil um cenário cada vez mais hostil.","O crescente ímpeto de controle da liberdade de expressão nas redes sociais pelo Estado brasileiro ganhou alcance internacional com o embate entre o empresário Elon Musk, dono do X, e o ministro do Supremo Tribunal Federal (STF) Alexandre de Moraes. Novos episódios do confronto ocorreram nesta semana, com o retorno temporário do X e uma possível volta atrás de Musk na decisão de não cumprir as ordens ilegais do juiz.

Há meses, o caso do Brasil tem chamado a atenção do mundo e tomado as manchetes de grandes jornais estrangeiros: em um país ocidental acostumado, até não muito tempo atrás, às liberdades democráticas, as empresas donas de redes sociais têm enfrentado um cenário cada vez mais hostil, sendo tratadas como inimigas das instituições e tornando-se vítimas de uma rápida escalada de iniciativas de censura.

Embora a hostilidade ao X seja a mais emblemática, há outros casos relevantes da tendência. Plataformas menores como Rumble e Locals já saíram do Brasil, o Telegram ficou duas vezes suspenso de forma temporária, e empresas como Meta e Google têm sido tratadas como inimigas por parte do Congresso ao mesmo tempo em que são pressionadas a cumprir ordens judiciais que impõem a remoção de conteúdos sob acusações de desinformação, discurso de ódio e ameaças à democracia.

A forma como o Estado brasileiro age para controlar as plataformas digitais lembra o modus operandi de ditaduras como China e Irã, países em que o X também está suspenso.

O Poder Judiciário, em especial com o ministro Alexandre de Moraes, tem sido o principal motor dessas intervenções. Mas também há ameaças importantes vindas do Executivo e do Legislativo.

No Congresso, parte da esquerda já fez pressão pela tramitação do Projeto de Lei 2630/20, que passaria a obrigar as redes sociais a adotarem uma postura proativa na fiscalização de conteúdos online, forçando-as a remover sem ordem judicial certos tipos de conteúdo que, em democracias funcionais, seriam plenamente legítimos. No Poder Executivo",Direita,"** O texto apresenta uma narrativa que destaca a hostilidade do Estado brasileiro às redes sociais, especialmente em relação ao X, e critica as medidas de censura tomadas pelo ministro Alexandre de Moraes. A abordagem é crítica à atuação do Judiciário e ao governo, o que sugere um viés ideológico.",bruno
Muito barulho por nada,"Vejamos. Sorrisos
e apertos de mão protocolares, caprichando no mostrar dos dentes, nada traduzem
além dos acertos diplomáticos realizados nos bastidores entre as equipes
presidenciais.

É aí, nos
bas...","Vejamos. Sorrisos e apertos de mão protocolares, caprichando no mostrar dos dentes, nada traduzem além dos acertos diplomáticos realizados nos bastidores entre as equipes presidenciais.

É aí, nos bastidores, que a coisa toda realmente acontece e para nosso azar e nossa curiosidade aumentada, dos reais acordos nada saberemos.

Já nos palco dos acontecimentos, nada de substancial, concreto, saiu desse encontro que se prolongou além do tempo acordado, nas longas três horas que durou o encontro entre os dois presidentes, além de uma nota por parte de Trump em que define Lula como ""muito dinâmico"" numa reunião em que trataram, segundo ele, de tarifas comerciais.

Mais não disse.

Lula, por sua vez, solicitou - e foi atendido em sua solicitação - para que a tradicional entrevista com jornalistas dentro do Salão Oval só acontecesse ao final da reunião.

Ao final do encontro, espertamente, saiu a jato da Casa Branca e concedeu uma entrevista na Embaixada brasileira para jornalistas caseiros somente, brasileiros que conhecem bem a peça rara, que conseguiu escapar de perguntas mais difíceis que teriam sido realizadas pela imprensa mundial, caso ele não tivesse fugido covardemente delas.

Ficamos até agora sem saber ao certo o que foi tratado, a que conclusões chegaram, o que foi negociado, por qual motivo retiraram Lula a jato do Brasil para esse bate volta inusitado.

Me pergunto o que faz um presidente como Lula, que até ontem xingava em altos brados o presidente americano, levantar voo até o país do hemisfério norte da América e abrir o bocão, mostrando felicidade incontida, em atitude incoerente entre o que faz para o público interno e como se comporta diante daquele que escrachou sem dó durante semanas a fio.

Me pergunto também como é que se faz para realizar um encontro com o sujeito que prendeu seu amigo Maduro, que se alia a seu inimigo Israel, e que ele próprio considera um inimigo político por defender pautas opostas a que ele mesmo defende, e ao final, afirmar qu",Neutro,"** O texto mantém um tom descritivo e neutro ao relatar os eventos do encontro entre Lula e Trump, sem tomar partido ou apresentar uma visão ideológica.",ariston
Fachin rejeita pedido de CPI do Crime Organizado para manter quebra de sigilo de empresa de Toffoli,Presidente do STF afirmou que entendimento da Corte não permite suspender decisão de outro ministro. Gilmar Mendes anulou quebra de sigilo bancário aprovado pela comissão.,"Fachin rejeita pedido de CPI do Crime Organizado para manter quebra de sigilo de empresa de Toffoli

Presidente do STF afirmou que entendimento da Corte não permite suspender decisão de outro ministro. Gilmar Mendes anulou quebra de sigilo bancário aprovado pela comissão.",Neutro,"** O texto apresenta um relato descritivo das decisões do Supremo Tribunal Federal (STF) sobre a quebra de sigilo bancário de uma empresa ligada ao ministro Toffoli e o pedido da CPI do Crime Organizado para manter essa medida. Não há adjetivação ou juízo de valor, apenas a exposição dos fatos.",thiago
"Pré-candidato à Presidência, Flávio Bolsonaro leva agenda ao exterior e critica Lula em eventos internacionais","Senador cumpre missões oficiais na Europa e no Oriente Médio, com encontros políticos, acadêmicos e empresariais","O senador e pré-candidato à Presidência Flávio Bolsonaro (PL-RJ) prossegue com uma série de viagens ao exterior, com o objetivo de angariar apoio de lideranças internacionais e apresentar suas propostas. Neste domingo (8), ele chegou à França, onde participou de uma entrevista ao canal Estúdio 5º Elemento, de uma palestra no Institut de Formation Politique (IFP) e se encontrou com empresários brasileiros residentes no país europeu.

CONTINUA APÓS A PUBLICIDADE

Na segunda-feira (9), Flávio Bolsonaro teve encontros com acadêmicos da área de geopolítica. O senador também se reuniu com os deputados europeus Thierry Mariani (Reagrupamento Nacional), ex-ministro dos Transportes da França; Marion Maréchal (Identidade-Liberdades), neta do fundador do partido Reunião Nacional, Jean-Marie Le Pen; e François Bellamy, vice-presidente do Partido Republicano. O pré-candidato também concedeu uma entrevista à emissora francesa CNews TV.

Senador iniciou viagens com discurso em Israel

A agenda de Flávio começou em Israel, onde participou da Conferência Internacional de Combate ao Antissemitismo, no Parlamento do país (Knesset). Durante o evento, ele chamou o presidente Lula (PT) de antissemita e criticou a decisão de retirar o Brasil da Aliança Internacional para a Memória do Holocausto (IHRA).

Na sequência, o pré-candidato visitou o Bahrein, onde foi recebido no palácio do príncipe Khalid bin Hamad Al Khalifa, chegando inclusive em um aeroporto privativo da família real. Lá, ele defendeu a aproximação do Brasil com “parceiros comerciais muçulmanos desenvolvidos” e acusou Lula de “bajular o Irã e grupos terroristas”.

Flávio Bolsonaro, escolhido pelo ex-presidente Jair Bolsonaro (PL) como seu sucessor na disputa ao Planalto, ainda não definiu o vice para sua chapa. As reuniões internacionais estão sendo realizadas em missão oficial pelo Senado. No Brasil, o governador de São Paulo, Tarcísio de Freitas (Republicanos), tem afirmado que não pretende concorrer à Presidência, reafirma",Direita,"** O texto apresenta uma narrativa que destaca a atuação do senador Flávio Bolsonaro em eventos internacionais, criticando o presidente Lula e apresentando suas propostas como pré-candidato à Presidência. A abordagem é mais focada na divulgação das ações do senador e críticas ao governo atual, sem uma análise profunda dos fatos.",thiago
"Privatizaram a Eletrobras a preço de banana, diz Lula","Privatização da Eletrobras, maior empresa de energia elétrica da América Latina, foi concluída em 2022, durante o governo do ex-presidente Jair Bolsonaro ","O presidente Luiz Inácio Lula da Silva (PT) disse, nesta sexta-feira (15), que a Eletrobras foi privatizada “a preço de banana”. A declaração foi durante evento em Barretos (SP) para o anúncio de investimentos no Sistema Único de Saúde (SUS).

“A Eletrobras era uma empresa pública de energia, era uma grande empresa. O presidente da Eletrobras, quando era pública, ganhava R$ 60 mil por mês. Aí privatizaram a preço de banana, e muita gente ficou rica com a privatização da Eletrobras”, afirmou.

O projeto de privatização da Eletrobras, maior empresa de energia elétrica da América Latina, obteve aval do Tribunal de Contas da União (TCU) em 2022, durante o governo do ex-presidente Jair Bolsonaro, após longos debates e polêmicas.

Pré-candidato à reeleição, Lula disse também que o SUS “está provando que aquilo que é público, quando feito com respeito, é muito melhor"". Ele afirmou também que a área da indústria da saúde no Brasil está crescendo de forma “extraordinária”.

O evento em Barretos (SP), na manhã desta sexta-feira, foi para o anúncio da construção do novo Centro de Pesquisa Clínica e Cirurgia Robótica do Instituto de Treinamento em Cirurgias Minimamente Invasivas (IRCAD), unidade vinculada ao Hospital de Amor na cidade – além de assinatura de outras portarias com investimentos para o SUS na unidade.

Ainda nesta sexta-feira, o presidente Lula voltou a afirmar que não concorda com uso da inteligência artificial nas eleições. “A gente precisa aprender a não acreditar em mentiras”, disse. E pontuou novamente que “não pode ter nunca inteligência artificial para a eleição, porque governar não é artificial, é real”. O presidente já havia falado sobre o assunto em evento de quinta (14) na Bahia.",Esquerda,"** A declaração do presidente Lula sobre a privatização da Eletrobras é uma crítica ao governo anterior e à forma como a empresa foi vendida. O uso de adjetivos como ""a preço de banana"" sugere que o processo de privatização foi injusto ou desleal.",mateus
